,theta0,theta1,j
39,120302.5196570707,149755.6716299074,2063837775.5179076
40,120293.50199444145,149770.7425769549,2063800871.5592282
41,120284.511492722,149785.76657051453,2063764194.3927221
42,120275.54808289118,149800.7437704247,2063727742.6243155
43,120266.61169575126,149815.67433562202,2063691514.8685253
44,120257.70226193884,149830.5584241551,2063655509.7483954
45,120248.81971193553,149845.39619319793,2063619725.895452
46,120239.96397607822,149860.18779906293,2063584161.9496489
47,120231.13498456909,149874.9333972137,2063548816.5593083
48,120222.33266748542,149889.63314227745,2063513688.3810804
49,120213.55695478899,149904.28718805715,2063478776.0798793
50,120204.80777633529,149918.89568754335,2063444078.3288395
51,120196.08506188243,149933.45879292575,2063409593.8092608
52,120187.38874109981,149947.9766556045,2063375321.2105618
53,120178.71874357657,149962.4494262011,2063341259.2302213
54,120170.07499882969,149976.8772545694,2063307406.5737376
55,120161.45743631199,149991.2602898058,2063273761.954572
56,120152.8659854198,150005.59868025963,2063240324.0941017
57,120144.30057550049,150019.89257354318,2063207091.721572
58,120135.76113585963,150034.1421165414,2063174063.574044
59,120127.24759576819,150048.3474554214,2063141238.396349
60,120118.75988446923,150062.50873564187,2063108614.9410412
61,120110.29793118464,150076.6261019621,2063076191.9683452
62,120101.8616651216,150090.6996984508,2063043968.246111
63,120093.45101547873,150104.72966849493,2063011942.5497713
64,120085.06591145227,150118.716154808,2062980113.6622863
65,120076.70628224194,150132.65929943844,2062948480.3741024
66,120068.37205705662,150146.55924377765,2062917041.4831045
67,120060.06316511994,150160.4161285679,2062885795.7945716
68,120051.77953567564,150174.23009391,2062854742.1211288
69,120043.5210979928,150188.00127927097,2062823879.2827005
70,120035.28778137088,150201.72982349127,2062793206.1064703
71,120027.07951514467,150215.415864792,2062762721.4268332
72,120018.89622868897,150229.0595407821,2062732424.0853488
73,120010.73785142333,150242.66098846495,2062702312.9307036
74,120002.60431281639,150256.22034424538,2062672386.818659
75,119994.4955423903,150269.73774393604,2062642644.6120138
76,119986.4114697249,150283.21332276394,2062613085.1805575
77,119978.35202446181,150296.6472153767,2062583707.4010262
78,119970.31713630837,150310.0395558486,2062554510.1570663
79,119962.30673504142,150323.39047768677,2062525492.3391857
80,119954.32075051109,150336.70011383688,2062496652.844709
81,119946.35911264434,150349.96859668905,2062467990.5777452
82,119938.42175144843,150363.19605808335,2062439504.4491374
83,119930.50859701433,150376.38262931537,2062411193.3764236
